staging.directvplay.com,dtv-cert.tbxnet.com,Subdomain Takeover,High
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUeaHR0cDovL2RpcmVjdHZsYS5jb20vb25kaXJlY3R2ZAIDD2QWAgIBDxYCHgNzcmMFImNvdW50cmllczIuYXNweD91cmxmcm9tPS9vbmRpcmVjdHZkAh8PFgIfAAUeaHR0cDovL2RpcmVjdHZsYS5jb20vb25kaXJlY3R2ZGQ=,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUeaHR0cDovL2RpcmVjdHZsYS5jb20vbW92aWVjaXR5ZAIDD2QWAgIBDxYCHgNzcmMFImNvdW50cmllczIuYXNweD91cmxmcm9tPS9tb3ZpZWNpdHlkAh8PFgIfAAUeaHR0cDovL2RpcmVjdHZsYS5jb20vbW92aWVjaXR5ZGQ=,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/wEPDwUKMTYwODUyODg3MA9kFgICAQ9kFgYCAQ8WAh4EaHJlZgUhaHR0cDovL2RpcmVjdHZsYS5jb20vbGlnYWl0YWxpYW5hZAIDD2QWAgIBDxYCHgNzcmMFJWNvdW50cmllczIuYXNweD91cmxmcm9tPS9saWdhaXRhbGlhbmFkAh8PFgIfAAUhaHR0cDovL2RpcmVjdHZsYS5jb20vbGlnYWl0YWxpYW5hZGQ=,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/youtube-ondirectv,Phishing,low
directvla.com,http://directvla.com/countries2.aspx?urlfrom=/yt,Phishing,low
directvla.com,http://directvla.com/css/IE9.css,Phishing,low
directvla.com,http://directvla.com/css/animaciones.css,Phishing,low
directvla.com,http://directvla.com/css/box.css,Phishing,low
directvla.com,http://directvla.com/css/dla.css,Phishing,low
directvla.com,http://directvla.com/css/global.css,Phishing,low
directvla.com,http://directvla.com/css/guidePageHeader.gif,Phishing,low
directvla.com,http://directvla.com/css/logo.gif,Phishing,low
directvla.com,http://directvla.com/css/mediaqueries.css,Phishing,low
